"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"230","FREMONT ","CO ",4,2,"COST ",8566,678,0.0791501284146626
"231","GARFIELD ","CO ",3,2,"HCPP ",5126,557,0.108661724541553
"232","GILPIN ","CO ",2,2,"COST ",237,88,0.371308016877637
"233","GRAND ","CO ",3,3,"COST ",1263,66,0.0522565320665083
"234","GUNNISON ","CO ",0,0,"HCPP ",1163,0,0
"235","HINSDALE ","CO ",0,0,"COST ",132,0,0
"236","HUERFANO ","CO ",2,2,"HCPP ",1748,119,0.0680778032036613
"237","KIOWA ","CO ",0,0,"HMO ",344,0,0
"238","KIT CARSON ","CO ",1,1,"COST ",1305,38,0.0291187739463602
"239","LA PLATA ","CO ",1,1,"COST ",5678,415,0.0730891158858753
"240","LARIMER ","CO ",6,3,"COST ",32397,4122,0.12723400314844
"241","LAS ANIMAS ","CO ",3,3,"HCPP ",3261,270,0.0827966881324747
"242","LINCOLN ","CO ",36,16,"COST ",892,3226,3.61659192825112
"243","MESA ","CO ",4,2,"HCPP ",23387,8019,0.342882798135716
"244","MINERAL ","CO ",4,3,"COST ",153,143,0.934640522875817
"245","MOFFAT ","CO ",1,1,"COST ",1609,17,0.0105655686761964
"246","MONTEZUMA ","CO ",1,1,"COST ",4352,262,0.0602022058823529
"247","MONTROSE ","CO ",1,1,"COST ",6846,1481,0.216330704060765
"248","OTERO ","CO ",4,3,"COST ",4210,305,0.0724465558194774
"249","OURAY ","CO ",1,1,"COST ",555,102,0.183783783783784
"250","PARK ","CO ",4,4,"COST ",1500,300,0.2
"251","PITKIN ","CO ",1,1,"COST ",1164,23,0.0197594501718213
"252","PROWERS ","CO ",1,1,"COST ",2140,29,0.0135514018691589
"253","PUEBLO ","CO ",7,3,"HCPP ",27854,5468,0.196309327206146
"254","RIO BLANCO ","CO ",1,1,"COST ",874,151,0.172768878718535
"255","RIO GRANDE ","CO ",7,5,"COST ",2163,1919,0.887193712436431
"256","ROUTT ","CO ",0,0,"HCPP ",1528,0,0
"257","SAGUACHE ","CO ",2,2,"COST ",893,32,0.0358342665173572
