countyname,state,countyssa,eligibles,numberofplans1,numberofplans2,totalenrollees,totalpenetration
CATTARAUGUS,NY,33040,15320,5,2,2365,15.43733681462141
CAYUGA,NY,33050,13476,5,2,261,1.9367764915405166
CHAUTAUQUA,NY,33060,26586,6,3,5450,20.499511020838035
CHEMUNG,NY,33070,17368,2,1,340,1.957623215108245
CHENANGO,NY,33080,9842,2,2,231,2.3470839260312943
CLINTON,NY,33090,12884,2,1,148,1.1487115802545793
COLUMBIA,NY,33200,11895,4,2,957,8.045397225725095
CORTLAND,NY,33210,7536,1,1,104,1.3800424628450105
DELAWARE,NY,33220,9589,2,2,232,2.419438940452602
DUTCHESS,NY,33230,44881,5,1,825,1.8381943361333304
ERIE,NY,33240,171028,10,4,62137,36.33147788666183
ESSEX,NY,33260,7948,2,0,63,0.7926522395571213
FRANKLIN,NY,33270,8380,2,1,63,0.7517899761336515
FULTON,NY,33280,9675,4,3,1530,15.813953488372093
GENESEE,NY,33290,10750,7,6,3434,31.94418604651163
GREENE,NY,33300,9165,5,3,975,10.638297872340425
HAMILTON,NY,33310,1303,0,0,0,0
HERKIMER,NY,33320,11970,3,2,446,3.725981620718463
JEFFERSON,NY,33330,16468,3,0,161,0.9776536312849162
KINGS,NY,33331,307517,26,7,77197,25.103327620912015
LEWIS,NY,33340,4454,2,1,58,1.3022002694207453
LIVINGSTON,NY,33350,9995,3,3,3612,36.13806903451726
MADISON,NY,33360,11247,2,2,310,2.756290566373255
MONROE,NY,33370,117328,8,3,58172,49.580662757398066
MONTGOMERY,NY,33380,11014,5,3,619,5.62011984746686
"NASSAU",NY,33400,222948,16,2,30796,13.813086459622872
NEW YORK,NY,33420,231357,24,7,43225,18.68324710296209
NIAGARA,NY,33500,41564,5,4,12938,31.127899143489557
ONEIDA,NY,33510,46256,5,3,1858,4.016776202006226
ONONDAGA,NY,33520,76147,5,2,2382,3.128160006303597
ONTARIO,NY,33530,17575,3,3,6652,37.84921763869132
ORANGE,NY,33540,46358,8,1,733,1.5811726131412054
ORLEANS,NY,33550,6894,7,5,2327,33.75398897592109
OSWEGO,NY,33560,19582,2,2,396,2.0222653457256663
OTSEGO,NY,33570,11434,2,2,168,1.469302081511282
PUTNAM,NY,33580,12182,5,0,99,0.8126744376949597
QUEENS,NY,33590,291073,24,8,83741,28.769758789032306
RENSSELAER,NY,33600,24970,5,4,4404,17.63716459751702
RICHMOND,NY,33610,64525,14,8,22959,35.58155753583882
ROCKLAND,NY,33620,43874,11,4,5099,11.621917308656608
SAINT LAWRENCE,NY,33630,19918,2,0,135,0.6777788934631991
SARATOGA,NY,33640,30753,4,3,5871,19.090820407765097
SCHENECTADY,NY,33650,30092,7,3,4273,14.199787318888742
SCHOHARIE,NY,33660,5683,1,0,24,0.42231215907091324
SCHUYLER,NY,33670,3314,2,1,47,1.4182257091128545
SENECA,NY,33680,5828,3,3,1405,24.107755662319835
STEUBEN,NY,33690,18384,5,3,546,2.9699738903394257
SUFFOLK,NY,33700,219401,15,2,27022,12.316261092702403
SULLIVAN,NY,33710,13819,4,0,120,0.8683696360083942
TIOGA,NY,33720,8379,2,2,180,2.1482277121374866
TOMPKINS,NY,33730,11741,1,1,71,0.6047185077932034
ULSTER,NY,33740,29636,3,1,661,2.23039546497503
WARREN,NY,33750,12885,3,2,2092,16.235933255723708
WASHINGTON,NY,33760,10861,3,3,1381,12.715219593039315
WAYNE,NY,33770,16478,3,3,5722,34.72508799611603
WESTCHESTER,NY,33800,144255,16,3,19679,13.641814841773249
WYOMING,NY,33900,6670,7,5,2069,31.019490254872565
YATES,NY,33910,4852,3,3,1327,27.349546578730422
ADAMS,OH,36000,5584,0,0,0,0
ALLEN,OH,36010,17709,0,0,0,0
ASHLAND,OH,36020,8408,1,1,56,0.6660323501427212
ASHTABULA,OH,36030,18473,4,0,88,0.4763709197206734
ATHENS,OH,36040,8319,1,1,65,0.7813439115278279
AUGLAIZE,OH,36050,8819,0,0,0,0
BELMONT,OH,36060,14178,4,4,4745,33.46734377204119
BROWN,OH,36070,6603,3,3,552,8.359836437982736
BUTLER,OH,36080,46914,8,2,6299,13.426695655880973
CARROLL,OH,36090,3716,4,3,1064,28.632938643702907
CHAMPAIGN,OH,36100,5939,2,0,37,0.6230005051355447
CLARK,OH,36110,25718,5,1,2484,9.658604868185707
CLERMONT,OH,36120,20088,7,5,4039,20.10653126244524
CLINTON,OH,36130,6814,1,0,23,0.3375403580862929
COLUMBIANA,OH,36140,20773,6,1,1976,9.512347759110384
COSHOCTON,OH,36150,6320,2,0,34,0.5379746835443038
CRAWFORD,OH,36160,8821,0,0,0,0
CUYAHOGA,OH,36170,231017,11,4,45235,19.58081007025457
DARKE,OH,36190,9116,2,1,189,2.0732777534006144
